@relation sonar
@attribute Band1 real[0.0020,0.137]
@attribute Band2 real[0.0010,0.234]
@attribute Band3 real[0.0020,0.306]
@attribute Band4 real[0.0060,0.426]
@attribute Band5 real[0.0070,0.401]
@attribute Band6 real[0.01,0.382]
@attribute Band7 real[0.0030,0.373]
@attribute Band8 real[0.0060,0.459]
@attribute Band9 real[0.0080,0.683]
@attribute Band10 real[0.011,0.711]
@attribute Band11 real[0.029,0.734]
@attribute Band12 real[0.024,0.706]
@attribute Band13 real[0.018,0.713]
@attribute Band14 real[0.027,0.997]
@attribute Band15 real[0.0030,1.0]
@attribute Band16 real[0.016,0.999]
@attribute Band17 real[0.035,1.0]
@attribute Band18 real[0.038,1.0]
@attribute Band19 real[0.049,1.0]
@attribute Band20 real[0.066,1.0]
@attribute Band21 real[0.051,1.0]
@attribute Band22 real[0.022,1.0]
@attribute Band23 real[0.056,1.0]
@attribute Band24 real[0.024,1.0]
@attribute Band25 real[0.024,1.0]
@attribute Band26 real[0.092,1.0]
@attribute Band27 real[0.048,1.0]
@attribute Band28 real[0.028,1.0]
@attribute Band29 real[0.014,1.0]
@attribute Band30 real[0.061,1.0]
@attribute Band31 real[0.048,0.966]
@attribute Band32 real[0.04,0.931]
@attribute Band33 real[0.048,1.0]
@attribute Band34 real[0.021,0.965]
@attribute Band35 real[0.022,1.0]
@attribute Band36 real[0.0080,1.0]
@attribute Band37 real[0.035,0.95]
@attribute Band38 real[0.038,1.0]
@attribute Band39 real[0.037,0.986]
@attribute Band40 real[0.012,0.93]
@attribute Band41 real[0.036,0.9]
@attribute Band42 real[0.0060,0.825]
@attribute Band43 real[0.0,0.773]
@attribute Band44 real[0.0,0.776]
@attribute Band45 real[0.0,0.703]
@attribute Band46 real[0.0,0.729]
@attribute Band47 real[0.0,0.552]
@attribute Band48 real[0.0,0.334]
@attribute Band49 real[0.0,0.198]
@attribute Band50 real[0.0,0.082]
@attribute Band51 real[0.0,0.1]
@attribute Band52 real[0.0010,0.071]
@attribute Band53 real[0.0,0.039]
@attribute Band54 real[0.0010,0.035]
@attribute Band55 real[0.0010,0.045]
@attribute Band56 real[0.0,0.039]
@attribute Band57 real[0.0,0.036]
@attribute Band58 real[0.0,0.044]
@attribute Band59 real[0.0,0.036]
@attribute Band60 real[0.0010,0.044]
@attribute Type{R,M}
@inputs Band1, Band2, Band3, Band4, Band5, Band6, Band7, Band8, Band9, Band10, Band11, Band12, Band13, Band14, Band15, Band16, Band17, Band18, Band19, Band20, Band21, Band22, Band23, Band24, Band25, Band26, Band27, Band28, Band29, Band30, Band31, Band32, Band33, Band34, Band35, Band36, Band37, Band38, Band39, Band40, Band41, Band42, Band43, Band44, Band45, Band46, Band47, Band48, Band49, Band50, Band51, Band52, Band53, Band54, Band55, Band56, Band57, Band58, Band59, Band60
@outputs Type
@data
0.032, 0.096, 0.132, 0.141, 0.167, 0.171, 0.073, 0.14, 0.208, 0.351, 0.179, 0.066, 0.051, 0.375, 0.542, 0.544, 0.515, 0.426, 0.202, 0.423, 0.772, 0.974, 0.939, 0.556, 0.527, 0.683, 0.571, 0.543, 0.218, 0.215, 0.581, 0.632, 0.296, 0.187, 0.297, 0.516, 0.615, 0.428, 0.548, 0.613, 0.502, 0.238, 0.196, 0.175, 0.13, 0.06, 0.112, 0.105, 0.051, 0.016, 0.02, 0.02, 0.025, 0.013, 0.0070, 0.014, 0.0090, 0.014, 0.0040, 0.01, R
0.0040, 0.0060, 0.015, 0.034, 0.031, 0.028, 0.04, 0.027, 0.032, 0.045, 0.049, 0.1, 0.142, 0.119, 0.063, 0.091, 0.118, 0.143, 0.122, 0.11, 0.185, 0.372, 0.438, 0.571, 0.665, 0.748, 0.765, 0.856, 0.972, 0.922, 0.75, 0.721, 0.776, 0.606, 0.502, 0.45, 0.395, 0.428, 0.443, 0.375, 0.197, 0.051, 0.079, 0.127, 0.153, 0.069, 0.04, 0.053, 0.023, 0.0070, 0.0060, 0.0060, 0.012, 0.0050, 0.0060, 0.0090, 0.0040, 0.0, 0.0050, 0.0040, R
0.012, 0.015, 0.014, 0.0080, 0.021, 0.106, 0.102, 0.044, 0.093, 0.073, 0.074, 0.062, 0.106, 0.118, 0.172, 0.258, 0.323, 0.382, 0.424, 0.422, 0.445, 0.408, 0.331, 0.401, 0.447, 0.522, 0.755, 0.95, 1.0, 0.908, 0.828, 0.757, 0.726, 0.615, 0.568, 0.576, 0.532, 0.367, 0.167, 0.087, 0.065, 0.189, 0.268, 0.289, 0.234, 0.167, 0.102, 0.12, 0.07, 0.017, 0.011, 0.0090, 0.0020, 0.0080, 0.0060, 0.0030, 0.0030, 0.0040, 0.0070, 0.0040, R
0.018, 0.03, 0.029, 0.039, 0.063, 0.053, 0.069, 0.063, 0.062, 0.061, 0.168, 0.348, 0.456, 0.519, 0.631, 0.72, 0.515, 0.382, 0.264, 0.334, 0.486, 0.663, 0.739, 0.921, 1.0, 0.775, 0.559, 0.617, 0.864, 0.659, 0.477, 0.498, 0.333, 0.308, 0.288, 0.223, 0.079, 0.06, 0.105, 0.061, 0.153, 0.098, 0.164, 0.19, 0.111, 0.192, 0.147, 0.039, 0.036, 0.027, 0.017, 0.01, 0.012, 0.0040, 0.0080, 0.012, 0.01, 0.0060, 0.0030, 0.0020, R
0.0090, 0.017, 0.04, 0.036, 0.068, 0.071, 0.102, 0.089, 0.038, 0.133, 0.13, 0.027, 0.064, 0.071, 0.12, 0.072, 0.122, 0.235, 0.368, 0.392, 0.492, 0.879, 0.961, 0.879, 0.69, 0.694, 0.567, 0.654, 0.78, 0.758, 0.584, 0.632, 0.811, 0.904, 0.865, 0.67, 0.403, 0.237, 0.268, 0.366, 0.327, 0.22, 0.3, 0.22, 0.116, 0.064, 0.046, 0.042, 0.017, 0.017, 0.013, 0.014, 0.019, 0.014, 0.0060, 0.013, 0.022, 0.0090, 0.0080, 0.012, R
0.014, 0.0040, 0.0050, 0.029, 0.056, 0.093, 0.103, 0.088, 0.16, 0.191, 0.158, 0.111, 0.12, 0.117, 0.142, 0.222, 0.266, 0.271, 0.386, 0.572, 0.68, 0.875, 1.0, 0.895, 0.842, 0.917, 0.931, 0.905, 0.823, 0.699, 0.583, 0.492, 0.456, 0.516, 0.567, 0.528, 0.514, 0.374, 0.228, 0.119, 0.109, 0.043, 0.107, 0.058, 0.0050, 0.047, 0.041, 0.029, 0.019, 0.0090, 0.0020, 0.0040, 0.0080, 0.01, 0.01, 0.0020, 0.0040, 0.0030, 0.0030, 0.0030, R
0.0090, 0.022, 0.024, 0.044, 0.067, 0.077, 0.05, 0.091, 0.123, 0.118, 0.078, 0.11, 0.104, 0.085, 0.046, 0.13, 0.269, 0.295, 0.367, 0.495, 0.628, 0.816, 0.924, 0.871, 0.805, 0.876, 1.0, 0.986, 0.943, 0.811, 0.699, 0.681, 0.659, 0.695, 0.729, 0.668, 0.592, 0.49, 0.344, 0.237, 0.172, 0.101, 0.077, 0.084, 0.026, 0.033, 0.02, 0.031, 0.01, 0.01, 0.0050, 0.0070, 0.0050, 0.0020, 0.0020, 0.0030, 0.0060, 0.0050, 0.0020, 0.0030, R
0.02, 0.014, 0.018, 0.041, 0.039, 0.025, 0.089, 0.097, 0.084, 0.119, 0.152, 0.132, 0.143, 0.124, 0.065, 0.089, 0.123, 0.185, 0.388, 0.366, 0.23, 0.261, 0.419, 0.585, 0.564, 0.545, 0.477, 0.69, 0.98, 1.0, 0.955, 0.884, 0.766, 0.655, 0.545, 0.459, 0.468, 0.199, 0.07, 0.149, 0.171, 0.165, 0.26, 0.385, 0.375, 0.241, 0.108, 0.022, 0.016, 0.019, 0.012, 0.0030, 0.0070, 0.012, 0.0010, 0.0020, 0.0060, 0.0040, 0.0070, 0.0010, R
0.027, 0.024, 0.062, 0.056, 0.113, 0.097, 0.182, 0.174, 0.144, 0.181, 0.237, 0.091, 0.175, 0.401, 0.519, 0.731, 0.906, 0.926, 0.743, 0.446, 0.51, 0.695, 0.776, 0.836, 0.728, 0.64, 0.576, 0.415, 0.35, 0.444, 0.266, 0.202, 0.194, 0.076, 0.372, 0.584, 0.483, 0.235, 0.1, 0.324, 0.399, 0.298, 0.168, 0.176, 0.168, 0.073, 0.119, 0.13, 0.075, 0.0070, 0.026, 0.011, 0.011, 0.0080, 0.0050, 0.0070, 0.01, 0.016, 0.022, 0.017, R
0.029, 0.04, 0.077, 0.081, 0.052, 0.105, 0.014, 0.067, 0.129, 0.115, 0.094, 0.079, 0.025, 0.119, 0.104, 0.205, 0.156, 0.269, 0.378, 0.402, 0.347, 0.14, 0.121, 0.283, 0.15, 0.263, 0.447, 0.752, 0.904, 0.781, 0.477, 0.248, 0.537, 0.628, 0.365, 0.457, 0.636, 0.647, 0.552, 0.325, 0.229, 0.065, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0060, 0.024, 0.02, 0.0050, 0.014, 0.016, 0.0080, 0.014, 0.011, R
